instance,xsize,ysize,blocked_nodes,density,number_of_agents
X15Y15R5-Rooms,15,15,17,0.04807692307692308,5
X15Y15R5-Rooms,15,15,29,0.05102040816326531,5
X15Y15R5-Rooms,15,15,19,0.04854368932038835,5
X15Y15R5-Rooms,15,15,27,0.050505050505050504,5
X15Y15R5-Rooms,15,15,66,0.06289308176100629,5
X15Y15R5-Rooms,15,15,46,0.055865921787709494,5
X15Y15R5-Rooms,15,15,48,0.05649717514124294,5
X15Y15R5-Rooms,15,15,54,0.05847953216374269,5
X15Y15R5-Rooms,15,15,59,0.060240963855421686,5
X15Y15R5-Rooms,15,15,57,0.05952380952380952,5
X15Y15R5-Rooms,15,15,51,0.05747126436781609,5
X15Y15R5-Rooms,15,15,59,0.060240963855421686,5
X15Y15R5-Rooms,15,15,60,0.06060606060606061,5
X15Y15R5-Rooms,15,15,68,0.06369426751592357,5
X15Y15R5-Rooms,15,15,64,0.062111801242236024,5
X15Y15R5-Rooms,15,15,60,0.06060606060606061,5
X15Y15R5-Rooms,15,15,63,0.06172839506172839,5
X15Y15R5-Rooms,15,15,69,0.0641025641025641,5
X15Y15R5-Rooms,15,15,73,0.06578947368421052,5
